transaction_id,datetime,amount,ref_code
LW24090100286,1/9/2024 12:48,422,Z001
LW24090100287,1/9/2024 12:48,73,Z003
LW24090100288,1/9/2024 12:48,404,Z003
LW24090200289,2/9/2024 13:02,247,Z001
LW24090300290,3/9/2024 16:31,204,Z008
LW24090500291,5/9/2024 18:57,348,Z008
LW24090300292,3/9/2024 16:31,54,Z008
LW24090300293,3/9/2024 16:31,269,Z001
LW24090500294,5/9/2024 18:57,180,Z007
LW24090100295,1/9/2024 12:48,149,Z001
LW24090500296,5/9/2024 18:57,274,Z001
LW24090400297,4/9/2024 09:30,483,Z003
LW24090400298,4/9/2024 09:30,164,Z008
LW24090400299,4/9/2024 09:30,229,Z008
LW24090300300,3/9/2024 16:31,499,Z007
LW24090500301,5/9/2024 18:57,32,Z007
LW24090200302,2/9/2024 13:02,272,Z003
LW24090200303,2/9/2024 13:02,431,Z007
LW24090400304,4/9/2024 09:30,155,Z003
LW24090500305,5/9/2024 18:57,113,Z007
LW24090300306,3/9/2024 16:31,488,Z001
LW24090100307,1/9/2024 12:48,311,Z003
LW24090200308,2/9/2024 13:02,127,Z008
LW24090200309,2/9/2024 13:02,47,Z001
LW24090300310,3/9/2024 16:31,67,Z003
LW24090300311,3/9/2024 16:31,161,Z001
LW24090300312,3/9/2024 16:31,291,Z007
LW24090300313,3/9/2024 16:31,183,Z008
LW24090100314,1/9/2024 12:48,21,Z008
LW24090300315,3/9/2024 16:31,96,Z008
LW24090500316,5/9/2024 18:57,273,Z007
LW24090100317,1/9/2024 12:48,99,Z001
LW24090100318,1/9/2024 12:48,14,Z008
LW24090300319,3/9/2024 16:31,10,Z001
LW24090200320,2/9/2024 13:02,122,Z001
LW24090200321,2/9/2024 13:02,167,Z008
LW24090500322,5/9/2024 18:57,187,Z007
LW24090300323,3/9/2024 16:31,242,Z001
LW24090300324,3/9/2024 16:31,80,Z007
LW24090400325,4/9/2024 09:30,228,Z003
LW24090500326,5/9/2024 18:57,145,Z007
LW24090200327,2/9/2024 13:02,209,Z001
LW24090300328,3/9/2024 16:31,326,Z001
LW24090100329,1/9/2024 12:48,124,Z001
LW24090400330,4/9/2024 09:30,368,Z003
LW24090200331,2/9/2024 13:02,366,Z007
LW24090100332,1/9/2024 12:48,340,Z008
LW24090300333,3/9/2024 16:31,498,Z001
LW24090200334,2/9/2024 13:02,454,Z007
LW24090500335,5/9/2024 18:57,118,Z001
LW24090100336,1/9/2024 12:48,208,Z001
LW24090300337,3/9/2024 16:31,297,Z008
LW24090400338,4/9/2024 09:30,418,Z007
LW24090300339,3/9/2024 16:31,43,Z003
LW24090300340,3/9/2024 16:31,387,Z007
LW24090400341,4/9/2024 09:30,80,Z003
LW24090100342,1/9/2024 12:48,10,Z008
LW24090100343,1/9/2024 12:48,147,Z001
LW24090500344,5/9/2024 18:57,130,Z003
LW24090400345,4/9/2024 09:30,166,Z003
LW24090400346,4/9/2024 09:30,48,Z001
LW24090300347,3/9/2024 16:31,332,Z008
LW24090300348,3/9/2024 16:31,70,Z003
LW24090100349,1/9/2024 12:48,111,Z007
LW24090400350,4/9/2024 09:30,357,Z008
LW24090100351,1/9/2024 12:48,178,Z001
LW24090400352,4/9/2024 09:30,150,Z008
LW24090400353,4/9/2024 09:30,30,Z008
LW24090100354,1/9/2024 12:48,491,Z001
LW24090300355,3/9/2024 16:31,66,Z001
LW24090300356,3/9/2024 16:31,186,Z003
LW24090200357,2/9/2024 13:02,201,Z001
LW24090200358,2/9/2024 13:02,314,Z008
LW24090500359,5/9/2024 18:57,165,Z003
LW24090400360,4/9/2024 09:30,295,Z007
LW24090100361,1/9/2024 12:48,65,Z003
LW24090100362,1/9/2024 12:48,235,Z001
LW24090100363,1/9/2024 12:48,463,Z008
LW24090200364,2/9/2024 13:02,169,Z001
LW24090200365,2/9/2024 13:02,83,Z003
LW24090100366,1/9/2024 12:48,236,Z003
LW24090400367,4/9/2024 09:30,94,Z001
LW24090100368,1/9/2024 12:48,108,Z001
LW24090100369,1/9/2024 12:48,341,Z008
LW24090400370,4/9/2024 09:30,410,Z008
LW24090500371,5/9/2024 18:57,436,Z008
LW24090500372,5/9/2024 18:57,261,Z003
LW24090300373,3/9/2024 16:31,184,Z001
LW24090400374,4/9/2024 09:30,153,Z001
LW24090400375,4/9/2024 09:30,118,Z007
LW24090500376,5/9/2024 18:57,98,Z007
LW24090200377,2/9/2024 13:02,25,Z001
LW24090400378,4/9/2024 09:30,265,Z001
LW24090100379,1/9/2024 12:48,170,Z001
LW24090300380,3/9/2024 16:31,386,Z007
LW24090200381,2/9/2024 13:02,366,Z003
LW24090300382,3/9/2024 16:31,193,Z001
LW24090500383,5/9/2024 18:57,421,Z003
LW24090200384,2/9/2024 13:02,395,Z003
LW24090400385,4/9/2024 09:30,285,Z001
LW24090200386,2/9/2024 13:02,124,Z003
LW24090300387,3/9/2024 16:31,440,Z001
LW24090100388,1/9/2024 12:48,276,Z008
LW24090100389,1/9/2024 12:48,57,Z007
LW24090100390,1/9/2024 12:48,90,Z001
LW24090500391,5/9/2024 18:57,15,Z008
LW24090400392,4/9/2024 09:30,159,Z001
LW24090200393,2/9/2024 13:02,138,Z003
LW24090100394,1/9/2024 12:48,346,Z007
LW24090400395,4/9/2024 09:30,126,Z007
LW24090400396,4/9/2024 09:30,178,Z007
LW24090300397,3/9/2024 16:31,327,Z007
LW24090200398,2/9/2024 13:02,328,Z003
LW24090100399,1/9/2024 12:48,453,Z007
LW24090200400,2/9/2024 13:02,260,Z003
LW24090500401,5/9/2024 18:57,150,Z003
LW24090200402,2/9/2024 13:02,278,Z003
LW24090100403,1/9/2024 12:48,464,Z003
LW24090200404,2/9/2024 13:02,447,Z008
LW24090400405,4/9/2024 09:30,369,Z007
LW24090400406,4/9/2024 09:30,414,Z007
LW24090300407,3/9/2024 16:31,408,Z001
LW24090500408,5/9/2024 18:57,180,Z007
LW24090200409,2/9/2024 13:02,172,Z008
LW24090100410,1/9/2024 12:48,41,Z003
LW24090500411,5/9/2024 18:57,352,Z003
LW24090400412,4/9/2024 09:30,234,Z003
LW24090200413,2/9/2024 13:02,187,Z007
LW24090500414,5/9/2024 18:57,246,Z001
LW24090400415,4/9/2024 09:30,156,Z008
LW24090400416,4/9/2024 09:30,64,Z008
LW24090500417,5/9/2024 18:57,71,Z003
LW24090400418,4/9/2024 09:30,100,Z001
LW24090300419,3/9/2024 16:31,435,Z001
LW24090400420,4/9/2024 09:30,301,Z001
LW24090400421,4/9/2024 09:30,418,Z001
LW24090200422,2/9/2024 13:02,291,Z007
LW24090500423,5/9/2024 18:57,442,Z007
LW24090500424,5/9/2024 18:57,423,Z008
LW24090200425,2/9/2024 13:02,247,Z001
LW24090100426,1/9/2024 12:48,208,Z008
LW24090300427,3/9/2024 16:31,309,Z003
LW24090300428,3/9/2024 16:31,184,Z008
LW24090300429,3/9/2024 16:31,270,Z008
LW24090100430,1/9/2024 12:48,275,Z001
LW24090500431,5/9/2024 18:57,166,Z007
LW24090200432,2/9/2024 13:02,314,Z008
LW24090300433,3/9/2024 16:31,276,Z008
LW24090500434,5/9/2024 18:57,328,Z008
LW24090200435,2/9/2024 13:02,322,Z003
LW24090400436,4/9/2024 09:30,59,Z007
LW24090500437,5/9/2024 18:57,440,Z001
LW24090300438,3/9/2024 16:31,323,Z001
LW24090400439,4/9/2024 09:30,192,Z008
LW24090100440,1/9/2024 12:48,155,Z003
LW24090100441,1/9/2024 12:48,24,Z003
LW24090500442,5/9/2024 18:57,48,Z007
LW24090100443,1/9/2024 12:48,447,Z007
LW24090100444,1/9/2024 12:48,267,Z003
LW24090200445,2/9/2024 13:02,117,Z003
LW24090200446,2/9/2024 13:02,18,Z003
LW24090100447,1/9/2024 12:48,428,Z007
LW24090300448,3/9/2024 16:31,468,Z008
LW24090100449,1/9/2024 12:48,170,Z007
LW24090400450,4/9/2024 09:30,131,Z001
LW24090300451,3/9/2024 16:31,271,Z008
LW24090200452,2/9/2024 13:02,212,Z008
LW24090200453,2/9/2024 13:02,246,Z007
LW24090400454,4/9/2024 09:30,14,Z008
LW24090300455,3/9/2024 16:31,281,Z007
LW24090500456,5/9/2024 18:57,456,Z008
LW24090400457,4/9/2024 09:30,287,Z008
LW24090500458,5/9/2024 18:57,266,Z001
LW24090500459,5/9/2024 18:57,84,Z003
LW24090100460,1/9/2024 12:48,326,Z003
LW24090500461,5/9/2024 18:57,422,Z007
LW24090100462,1/9/2024 12:48,288,Z008
LW24090500463,5/9/2024 18:57,303,Z003
LW24090500464,5/9/2024 18:57,429,Z007
LW24090100465,1/9/2024 12:48,350,Z003
LW24090400466,4/9/2024 09:30,311,Z003
LW24090200467,2/9/2024 13:02,223,Z007
LW24090300468,3/9/2024 16:31,239,Z003
LW24090500469,5/9/2024 18:57,111,Z007
LW24090500470,5/9/2024 18:57,28,Z008
LW24090400471,4/9/2024 09:30,49,Z007
LW24090400472,4/9/2024 09:30,204,Z003
LW24090400473,4/9/2024 09:30,347,Z001
LW24090500474,5/9/2024 18:57,242,Z003
LW24090500475,5/9/2024 18:57,94,Z003
LW24090200476,2/9/2024 13:02,425,Z007
LW24090100477,1/9/2024 12:48,175,Z003
LW24090100478,1/9/2024 12:48,360,Z003
LW24090200479,2/9/2024 13:02,160,Z001
LW24090300480,3/9/2024 16:31,396,Z003
LW24090500481,5/9/2024 18:57,163,Z003
LW24090500482,5/9/2024 18:57,59,Z007
LW24090300483,3/9/2024 16:31,126,Z003
LW24090300484,3/9/2024 16:31,479,Z001
LW24090100485,1/9/2024 12:48,305,Z003
LW24090400486,4/9/2024 09:30,21,Z001
LW24090300487,3/9/2024 16:31,354,Z007
LW24090300488,3/9/2024 16:31,305,Z001
LW24090400489,4/9/2024 09:30,251,Z003
LW24090400490,4/9/2024 09:30,122,Z007
LW24090400491,4/9/2024 09:30,261,Z003
LW24090100492,1/9/2024 12:48,298,Z007
LW24090200493,2/9/2024 13:02,204,Z001
LW24090200494,2/9/2024 13:02,302,Z001
LW24090200495,2/9/2024 13:02,444,Z003
LW24090300496,3/9/2024 16:31,91,Z008
LW24090300497,3/9/2024 16:31,367,Z001
LW24090100498,1/9/2024 12:48,446,Z001
LW24090100499,1/9/2024 12:48,230,Z007
LW24090400500,4/9/2024 09:30,391,Z003
LW24090400501,4/9/2024 09:30,155,Z008
LW24090200502,2/9/2024 13:02,212,Z001
LW24090400503,4/9/2024 09:30,424,Z008
LW24090500504,5/9/2024 18:57,378,Z008
LW24090100505,1/9/2024 12:48,256,Z003
LW24090200506,2/9/2024 13:02,138,Z001
LW24090300507,3/9/2024 16:31,119,Z001
LW24090400508,4/9/2024 09:30,74,Z003
LW24090100509,1/9/2024 12:48,375,Z001
LW24090500510,5/9/2024 18:57,202,Z001
LW24090400511,4/9/2024 09:30,374,Z001
LW24090400512,4/9/2024 09:30,416,Z003
LW24090400513,4/9/2024 09:30,121,Z001
LW24090100514,1/9/2024 12:48,366,Z008
LW24090100515,1/9/2024 12:48,36,Z007
LW24090400516,4/9/2024 09:30,244,Z001
LW24090200517,2/9/2024 13:02,484,Z001
LW24090100518,1/9/2024 12:48,240,Z008
LW24090100519,1/9/2024 12:48,106,Z003
LW24090500520,5/9/2024 18:57,478,Z008
LW24090500521,5/9/2024 18:57,223,Z001
LW24090200522,2/9/2024 13:02,406,Z001
LW24090300523,3/9/2024 16:31,292,Z008
LW24090100524,1/9/2024 12:48,231,Z003
LW24090500525,5/9/2024 18:57,177,Z008
LW24090300526,3/9/2024 16:31,397,Z007
LW24090200527,2/9/2024 13:02,448,Z007
LW24090400528,4/9/2024 09:30,474,Z008
LW24090400529,4/9/2024 09:30,121,Z008
LW24090100530,1/9/2024 12:48,156,Z003
LW24090100531,1/9/2024 12:48,21,Z003
LW24090500532,5/9/2024 18:57,442,Z008
LW24090400533,4/9/2024 09:30,215,Z003
LW24090500534,5/9/2024 18:57,362,Z001
LW24090300535,3/9/2024 16:31,376,Z003
LW24090100536,1/9/2024 12:48,479,Z008
LW24090500537,5/9/2024 18:57,327,Z008
LW24090300538,3/9/2024 16:31,65,Z001
LW24090200539,2/9/2024 13:02,247,Z003
LW24090400540,4/9/2024 09:30,28,Z003
LW24090300541,3/9/2024 16:31,76,Z008
LW24090100542,1/9/2024 12:48,429,Z003
LW24090500543,5/9/2024 18:57,207,Z007
LW24090200544,2/9/2024 13:02,306,Z007
LW24090100545,1/9/2024 12:48,99,Z001
LW24090400546,4/9/2024 09:30,125,Z008
LW24090400547,4/9/2024 09:30,116,Z007
LW24090300548,3/9/2024 16:31,22,Z008
LW24090200549,2/9/2024 13:02,177,Z008
LW24090400550,4/9/2024 09:30,192,Z003
LW24090300551,3/9/2024 16:31,253,Z003
LW24090100552,1/9/2024 12:48,81,Z008
LW24090100553,1/9/2024 12:48,34,Z001
LW24090100554,1/9/2024 12:48,326,Z007
LW24090400555,4/9/2024 09:30,155,Z007
LW24090300556,3/9/2024 16:31,65,Z008
LW24090100557,1/9/2024 12:48,75,Z003
LW24090500558,5/9/2024 18:57,472,Z007
LW24090500559,5/9/2024 18:57,124,Z003
LW24090500560,5/9/2024 18:57,96,Z003
LW24090200561,2/9/2024 13:02,226,Z003
LW24090200562,2/9/2024 13:02,18,Z001
LW24090100563,1/9/2024 12:48,158,Z008
LW24090500564,5/9/2024 18:57,53,Z001
LW24090500565,5/9/2024 18:57,36,Z001
LW24090400566,4/9/2024 09:30,464,Z001
LW24090500567,5/9/2024 18:57,211,Z008
LW24090300568,3/9/2024 16:31,236,Z007
LW24090100569,1/9/2024 12:48,445,Z001
LW24090200570,2/9/2024 13:02,223,Z003
LW24090400571,4/9/2024 09:30,314,Z008
LW24090500572,5/9/2024 18:57,229,Z007
LW24090400573,4/9/2024 09:30,211,Z008
LW24090100574,1/9/2024 12:48,456,Z007
LW24090100575,1/9/2024 12:48,231,Z008
LW24090400576,4/9/2024 09:30,359,Z001
LW24090100577,1/9/2024 12:48,432,Z007
LW24090100578,1/9/2024 12:48,233,Z001
LW24090400579,4/9/2024 09:30,100,Z007
LW24090200580,2/9/2024 13:02,199,Z007
LW24090100581,1/9/2024 12:48,147,Z003
